Course,Section,Course_Title,Exam_Type,Exam_Start_Time,Exam_End_Time,Building,Room,Rows_From,Row_Start,Row_End
ACCT 351,1,Intermediate Financial Acct 1,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,20-Dec-2023 at 9:00 AM,20-Dec-2023 at 12:00 PM,GYM,BLEACHERS,1-5,AAA,ZZZ
ACCT 351,2,Intermediate Financial Acct 1,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,20-Dec-2023 at 9:00 AM,20-Dec-2023 at 12:00 PM,GYM,BLEACHERS,1-5,AAA,ZZZ
ACCT 352,1,Intermediate Financial Acct 2,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,13-Dec-2023 at 9:00 AM,13-Dec-2023 at 12:00 PM,GYM,Fieldhouse,38-39,AAA,ZZZ
ACCT 354,1,Financial Statement Analysis,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,13-Dec-2023 at 9:00 AM,13-Dec-2023 at 12:00 PM,GYM,Fieldhouse,12-14,AAA,ZZZ
ACCT 354,2,Financial Statement Analysis,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,13-Dec-2023 at 9:00 AM,13-Dec-2023 at 12:00 PM,GYM,Fieldhouse,12-14,AAA,ZZZ
ACCT 361,1,Management Accounting,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Dec-2023 at 6:30 PM,14-Dec-2023 at 9:30 PM,GYM,Fieldhouse,33-36,AAA,ZZZ
ACCT 361,2,Management Accounting,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Dec-2023 at 6:30 PM,14-Dec-2023 at 9:30 PM,GYM,Fieldhouse,33-36,AAA,ZZZ
ACCT 362,1,Cost Accounting,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,21-Dec-2023 at 2:00 PM,21-Dec-2023 at 5:00 PM,GYM,main gym,11-13,AAA,ZZZ
ACCT 385,1,Principles of Taxation,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,7-Dec-2023 at 2:00 PM,7-Dec-2023 at 5:00 PM,GYM,Fieldhouse,17-19,AAA,ZZZ
ACCT 385,2,Principles of Taxation,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,7-Dec-2023 at 2:00 PM,7-Dec-2023 at 5:00 PM,GYM,Fieldhouse,17-19,AAA,ZZZ
ACCT 453,1,Advanced Financial Accounting,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,13-Dec-2023 at 9:00 AM,13-Dec-2023 at 12:00 PM,GYM,main gym,6-8,AAA,ZZZ
ACCT 463,71,Management Control,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Dec-2023 at 2:00 PM,14-Dec-2023 at 5:00 PM,GYM,Fieldhouse,25-26,AAA,ZZZ
ACCT 475,1,Principles of Auditing,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,21-Dec-2023 at 2:00 PM,21-Dec-2023 at 5:00 PM,GYM,Fieldhouse,33-34,AAA,ZZZ
AEBI 120,1,General Biology,IN-PERSON - FORMAL EXAM - MAC CAMPUS,7-Dec-2023 at 2:00 PM,7-Dec-2023 at 5:00 PM,CENTEN,Ballroom,,AAA,ZZZ
AEBI 210,1,Organisms 1,IN-PERSON - FORMAL EXAM - MAC CAMPUS,11-Dec-2023 at 2:00 PM,11-Dec-2023 at 5:00 PM,CENTEN,Ballroom,,AAA,ZZZ
AECH 110,1,General Chemistry 1,IN-PERSON - FORMAL EXAM - MAC CAMPUS,19-Dec-2023 at 9:00 AM,19-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
AEHM 205,1,Science Literacy,ONLINE - TAKE-HOME - 24 HOURS,11-Dec-2023 at 9:00 AM,12-Dec-2023 at 9:00 AM,TAKE,HOME,,AAA,ZZZ
AEMA 101,1,Calculus 1,IN-PERSON - FORMAL EXAM - MAC CAMPUS,15-Dec-2023 at 2:00 PM,15-Dec-2023 at 5:00 PM,CENTEN,Ballroom,,AAA,ZZZ
AEMA 202,1,Intermediate Calculus,IN-PERSON - FORMAL EXAM - MAC CAMPUS,15-Dec-2023 at 9:00 AM,15-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
AEMA 310,1,Statistical Methods 1,IN-PERSON - FORMAL EXAM - MAC CAMPUS,13-Dec-2023 at 2:00 PM,13-Dec-2023 at 5:00 PM,CENTEN,Ballroom,,AAA,ZZZ
AEMA 610,1,Statistical Methods 2,IN-PERSON - FORMAL EXAM - MAC CAMPUS,21-Dec-2023 at 9:00 AM,21-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
AEPH 112,1,Introductory Physics 1,IN-PERSON - FORMAL EXAM - MAC CAMPUS,12-Dec-2023 at 2:00 PM,12-Dec-2023 at 5:00 PM,CENTEN,Ballroom,,AAA,ZZZ
AEPH 113,1,Physics 1,IN-PERSON - FORMAL EXAM - MAC CAMPUS,12-Dec-2023 at 2:00 PM,12-Dec-2023 at 5:00 PM,CENTEN,Ballroom,,AAA,ZZZ
AFRI 200,1,Intro to African Studies,ONLINE - TAKE-HOME - 72 HOURS,5-Dec-2023 at 2:00 PM,8-Dec-2023 at 2:00 PM,TAKE,HOME,,AAA,ZZZ
AGEC 333,1,Resource Economics,IN-PERSON - FORMAL EXAM - MAC CAMPUS,20-Dec-2023 at 9:00 AM,20-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
AGRI 215,1,Agro-Ecosystems Field Course,ONLINE - TAKE-HOME - 48 HOURS,18-Dec-2023 at 9:00 AM,20-Dec-2023 at 9:00 AM,TAKE,HOME,,AAA,ZZZ
ANAT 214,1,Systemic Human Anatomy,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,18-Dec-2023 at 9:00 AM,18-Dec-2023 at 12:00 PM,GYM,Studio 1,1-6,AAA,MIL
ANAT 214,1,Systemic Human Anatomy,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,18-Dec-2023 at 9:00 AM,18-Dec-2023 at 12:00 PM,GYM,Studio 2,1-5,MON,ZZZ
ANAT 214,001L,Systemic Human Anatomy,IN-PERSON - LAB EXAM - D.T. CAMPUS,12-Dec-2023 at 9:00 AM,12-Dec-2023 at 12:00 PM,SADB,2/49,,AAA,ZZZ
ANAT 261,1,Intro to Dynamic Histology,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,7-Dec-2023 at 9:00 AM,7-Dec-2023 at 12:00 PM,GYM,Fieldhouse,21-28,AAA,ZZZ
ANAT 261,001L,Intro to Dynamic Histology,IN-PERSON - LAB EXAM - D.T. CAMPUS,21-Dec-2023 at 9:00 AM,21-Dec-2023 at 12:00 PM,SADB,1/56,,AAA,ZZZ
ANAT 315,1,Clin Hum Musculoskeletal Anat,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Dec-2023 at 2:00 PM,14-Dec-2023 at 5:00 PM,GYM,main gym,28-39,AAA,ZZZ
